Year,UNIT_MEASURE,Spol,Value
2003,Broj,Oba spola,5559
2004,Broj,Oba spola,5680
2005,Broj,Oba spola,5773
2006,Broj,Oba spola,5932
2007,Broj,Oba spola,6182
2008,Broj,Oba spola,6275
2009,Broj,Oba spola,6493
2010,Broj,Oba spola,6665
2011,Broj,Oba spola,6881
2012,Broj,Oba spola,7026
2013,Broj,Oba spola,7211
2014,Broj,Oba spola,7272
2015,Broj,Oba spola,7413
2016,Broj,Oba spola,7453
2017,Broj,Oba spola,7415
2018,Broj,Oba spola,7599
2019,Broj,Oba spola,7791
2003,Broj,M,2453
2004,Broj,M,2463
2005,Broj,M,2458
2006,Broj,M,2470
2007,Broj,M,2558
2008,Broj,M,2539
2009,Broj,M,2641
2010,Broj,M,2628
2011,Broj,M,2699
2012,Broj,M,2732
2013,Broj,M,2804
2014,Broj,M,2865
2015,Broj,M,2859
2016,Broj,M,2856
2017,Broj,M,2829
2018,Broj,M,2865
2019,Broj,M,2898
