Year,UNIT_MEASURE,Sex,Value
2014,Number,Both sexes,9108
2015,Number,Both sexes,8069
2016,Number,Both sexes,8809
2017,Number,Both sexes,8561
2018,Number,Both sexes,8921
2019,Number,Both sexes,9155
2020,Number,Both sexes,9262
2014,Number,M,2923
2015,Number,M,2483
2016,Number,M,2726
2017,Number,M,2628
2018,Number,M,2703
2019,Number,M,2703
2020,Number,M,8489
2014,Number,F,6185
2015,Number,F,5586
2016,Number,F,6083
2017,Number,F,5933
2018,Number,F,6218
2019,Number,F,6452
2020,Number,F,6633
