Year,UNIT_MEASURE,SEX,Value
2014,NUMBER,_T,11333
2015,NUMBER,_T,12062
2016,NUMBER,_T,11604
2017,NUMBER,_T,11360
2018,NUMBER,_T,12083
2019,NUMBER,_T,12449
2020,NUMBER,_T,13192
2014,NUMBER,M,4494
2015,NUMBER,M,4717
2016,NUMBER,M,4655
2017,NUMBER,M,4471
2018,NUMBER,M,4563
2019,NUMBER,M,4808
2020,NUMBER,M,4945
2014,NUMBER,F,6839
2015,NUMBER,F,7345
2016,NUMBER,F,6949
2017,NUMBER,F,6889
2018,NUMBER,F,7520
2019,NUMBER,F,7641
2020,NUMBER,F,8247
