Year,UNIT_MEASURE,Пол,Value
2014,Број,Оба пола,9108
2015,Број,Оба пола,8069
2016,Број,Оба пола,8809
2017,Број,Оба пола,8561
2018,Број,Оба пола,8921
2019,Број,Оба пола,9155
2020,Број,Оба пола,9262
2014,Број,M,2923
2015,Број,M,2483
2016,Број,M,2726
2017,Број,M,2628
2018,Број,M,2703
2019,Број,M,2703
2020,Број,M,8489
2014,Број,Ж,6185
2015,Број,Ж,5586
2016,Број,Ж,6083
2017,Број,Ж,5933
2018,Број,Ж,6218
2019,Број,Ж,6452
2020,Број,Ж,6633
