Year,UNIT_MEASURE,SEX,Value
2011,NUMBER,_T,2861
2012,NUMBER,_T,3156
2013,NUMBER,_T,3228
2014,NUMBER,_T,3534
2015,NUMBER,_T,3780
2016,NUMBER,_T,4453
2017,NUMBER,_T,4884
2018,NUMBER,_T,5663
2019,NUMBER,_T,6076
2020,NUMBER,_T,5688
2021,NUMBER,_T,7799
2022,NUMBER,_T,9356
2023,NUMBER,_T,10251
2024,NUMBER,_T,12082
2025/2026,NUMBER,_T,11281
2011,NUMBER,M,1528
2012,NUMBER,M,1616
2013,NUMBER,M,1719
2014,NUMBER,M,1808
2015,NUMBER,M,2009
2016,NUMBER,M,2403
2017,NUMBER,M,2535
2018,NUMBER,M,2948
2019,NUMBER,M,3137
2020,NUMBER,M,2820
2021,NUMBER,M,4116
2022,NUMBER,M,4992
2023,NUMBER,M,5351
2024,NUMBER,M,6142
2025/2026,NUMBER,M,5850
2011,NUMBER,F,1333
2012,NUMBER,F,1540
2013,NUMBER,F,1509
2014,NUMBER,F,1726
2015,NUMBER,F,1771
2016,NUMBER,F,2050
2017,NUMBER,F,2349
2018,NUMBER,F,2715
2019,NUMBER,F,2939
2020,NUMBER,F,2868
2021,NUMBER,F,3683
2022,NUMBER,F,4364
2023,NUMBER,F,4900
2024,NUMBER,F,5940
2025/2026,NUMBER,F,5431
